"exp_mass","abundance","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag","SNR","n_abundance"
387.194261150374,37308.625660189,7.47551666666667,"C19H31O6P","O6P","CHOP",19,31,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,386.186984698214,387.19310166486,3.00239407361516,3,387,386.761916579341,0.238083420659166,5,0.315789473684211,1.63157894736842,-1,29.7066019394385,26,0.9,40,0.8,0,0,0,0,0,0,0,0,0,"Ambiguous",49.4781821295999,0.00347437513689688
391.284566985331,398674.887353544,11.4377,"C24H38O4","O4","CHO",24,38,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390.277290533171,391.28428615356,0.719569849594923,0.72,391,390.847655142261,0.152344857738512,6,0.166666666666667,1.58333333333333,2,30.0213084385692,28,0.9,50,0.8,0,0,0,0,0,0,0,0,0,"Ambiguous",528.71710865579,0.037126699035831
391.284566985331,398674.887353544,11.4377,"C25H34N4","N4","CHN",25,34,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,390.277290533171,391.28562356636,-2.70725726141948,2.71,391,390.847655142261,0.152344857738512,11,0,1.36,11,30.0214113164769,29,1,52,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",528.71710865579,0.037126699035831
396.275203642424,32336.0674670605,9.25821666666667,"C23H33N5O","N5O","CHNO",23,33,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,395.267927190264,396.27578716416,-1.4762688687704,1.48,396,395.832719209879,0.16728079012114,10,0.0434782608695652,1.43478260869565,9,30.4052700547692,29,1,48,0.7,0,0,0,0,0,0,0,0,0,"Ambiguous",42.8836443899752,0.00301130440600652
396.275203642424,32336.0674670605,9.25821666666667,"C22H37NO5","NO5","CHNO",22,37,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,395.267927190264,396.27444975136,1.90729126337182,1.91,396,395.832719209879,0.16728079012114,5,0.227272727272727,1.68181818181818,0,30.4051671768615,28,0.9,46,0.8,0,0,0,0,0,0,0,0,0,"Ambiguous",42.8836443899752,0.00301130440600652
399.251181560862,30901.6229999135,8.70013333333333,"C19H35N4O3P","N4O3P","CHNOP",19,35,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398.243905108702,399.25195395516,-1.93950061250016,1.94,399,398.805374124787,0.194625875213148,5,0.157894736842105,1.84210526315789,2,30.6342059617692,27,0.9,40,0.9,0,0,0,0,0,0,0,0,0,"Ambiguous",40.9813040237893,0.00287772140465697
399.251181560862,30901.6229999135,8.70013333333333,"C18H39O7P","O7P","CHOP",18,39,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,398.243905108702,399.25061654236,1.41877501420972,1.42,399,398.805374124787,0.194625875213148,0,0.388888888888889,2.16666666666667,-7,30.6341030838615,26,0.8,38,1,0,0,0,0,0,0,0,0,0,"Ambiguous",40.9813040237893,0.00287772140465697
403.103461390853,15455.4656787012,6.96151666666667,"C20H18O9","O9","CHO",20,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402.096184938693,403.10235862706,2.74253731944008,2.74,403,402.653352464705,0.346647535294892,12,0.45,0.9,3,30.9303909365308,29,0.9,42,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",20.4968243192232,0.00143929412389324
403.103461390853,15455.4656787012,6.96151666666667,"C21H14N4O5","N4O5","CHNO",21,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,402.096184938693,403.10369603986,-0.583564369926182,0.58,403,402.653352464705,0.346647535294892,17,0.238095238095238,0.666666666666667,12,30.9304938144385,30,1,44,0.3,0,0,0,0,0,0,0,0,0,"Ambiguous",20.4968243192232,0.00143929412389324
407.094965089936,13094.8415104308,3.53093333333333,"C23H20O3P2","O3P2","CHOP",23,20,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,406.087688637776,407.09604393706,-2.65668513087053,2.66,407,406.640399215099,0.35960078490109,15,0.130434782608696,0.869565217391304,12,31.2375974988385,28,0.9,48,0.4,0,0,0,0,0,0,0,0,0,"Ambiguous",17.3661972733213,0.00121946040521117
