"abundance","exp_mass","RT","formula","class","group","C","H","O","N","S","P","E","S34","N15","D","Cl","Fl","Cl37","Br","Br81","I","M","NH4","POE","NOE","Z","neutral_mass","theor_mass","err_ppm","AE_ppm","NM","KM","KMD","DBE","O_C","H_C","DBEO","max_LA","actual_LA","rule_13","max_H","H_test","C13_mass","C13_abund","C13_RT","C13_mass2","C13_abund2","C13_RT2","S34_mass","S34_abund","S34_RT","tag"
7410.24704041776,171.081043987255,4.90545,"C12H12O","O","CHO",12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.088320439415,171.08153855294,-2.87390616489246,2.87,171,170.890013365172,0.109986634828232,7,0.0833333333333333,1,6,13.2376011542385,13,1,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
6307.722959639,171.081081420988,5.71305,"C12H12O","O","CHO",12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.088357873148,171.08153855294,-2.6563793022006,2.66,171,170.890050757106,0.109949242894061,7,0.0833333333333333,1,6,13.2376011542385,13,1,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
11710.6803087751,171.081103805086,4.71148333333333,"C12H12O","O","CHO",12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.088380257246,171.08153855294,-2.52630568868935,2.53,171,170.89007311621,0.109926883790337,7,0.0833333333333333,1,6,13.2376011542385,13,1,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
66710.8698135403,171.081322376258,4.268,"C12H12O","O","CHO",12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.088598828418,171.08153855294,-1.25619409704246,1.26,171,170.890291443323,0.109708556676878,7,0.0833333333333333,1,6,13.2376011542385,13,1,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
8029.80367048111,171.081346726678,8.20375,"C12H12O","O","CHO",12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.088623178838,171.08153855294,-1.1146946176187,1.11,171,170.890315766553,0.109684233446757,7,0.0833333333333333,1,6,13.2376011542385,13,1,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
83123.3393024047,171.081737915521,3.57765,"C12H12O","O","CHO",12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.089014367681,171.08153855294,1.1584852276509,1.16,171,170.890706518591,0.109293481408741,7,0.0833333333333333,1,6,13.2376011542385,13,1,26,0.5,0,0,0,0,0,0,0,0,0,"Unambiguous"
12564.4352007547,171.117544911276,5.31366666666667,"C13H16","","CH",13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,172.124821363436,171.11792405824,-2.20274426997824,2.2,171,170.926473531935,0.0735264680650403,6,0,1.23076923076923,6,13.2404000392615,13,1,28,0.6,0,0,0,0,0,0,0,0,0,"Unambiguous"
8201.54966362521,173.06100687773,4.38261666666667,"C11H10O2","O2","CHO",11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174.06828332989,173.06080311144,1.17061124569732,1.17,173,172.867765411395,0.132234588604888,7,0.181818181818182,0.909090909090909,5,13.3898522741231,13,1,24,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
12430.5879855177,173.061061657432,4.88781666666667,"C11H10O2","O2","CHO",11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174.068338109592,173.06080311144,1.48531315224053,1.49,173,172.86782012993,0.132179870070388,7,0.181818181818182,0.909090909090909,5,13.3898522741231,13,1,24,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
6061.2734422,173.06118421163,4.02731666666667,"C11H10O2","O2","CHO",11,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,174.06846066379,173.06080311144,2.18936956496493,2.19,173,172.867942547282,0.132057452717504,7,0.181818181818182,0.909090909090909,5,13.3898522741231,13,1,24,0.4,0,0,0,0,0,0,0,0,0,"Unambiguous"
